,Gene1,Gene2
1385,1100,2
1386,1101,2
1387,1102,686
1388,1102,1006
1389,1103,805
1390,1104,805
1391,1105,805
1392,1106,805
1393,1107,805
1394,1108,805
1395,1109,1006
1396,1110,805
1397,1110,1006
1398,1111,805
1399,1111,1006
1400,1112,805
1401,1112,1006
1402,1113,805
1403,1113,1006
1404,1114,805
1405,1115,1006
1406,1116,232
1407,1117,1006
1408,1118,232
1409,1119,232
1410,1120,1006
1411,1121,1006
1412,1122,2
1413,1123,686
1414,1124,686
1415,1125,686
1416,1126,686
1417,1127,686
1418,1128,805
1419,1128,1006
1420,1129,232
1421,1130,1006
1422,1131,686
1423,1132,2
1424,1133,686
1425,1134,686
1426,1134,805
1427,1134,1006
1428,1135,1006
1429,1136,1006
1430,1137,1006
1431,1138,1006
1432,1139,2
